Year,State,<1 month,1-5  mos ,6-11 mos ,12-17 mos ,18-23 mos ,24-29 mos ,30-35 mos ,3-4 yrs,5+ years,Total # Children,Missing Data,Mean,Median
2015,Total,2.2,29.3,34.9,17,7.3,3.7,1.9,2.5,1.1,52726,830,11.4,8
2014,Alabama,2.2,52.2,16.2,12.6,5.5,4.9,0.4,3.6,2.4,548,0,10.7,4
2014,Alaska,18.5,39.2,18.5,11.4,4.9,2.5,1.4,1.9,1.6,367,0,8.7,4
2014,Arizona,0.2,28.1,50.1,13.2,4.1,2.2,0.7,1.2,0.3,3044,46,9.4,8
2014,Arkansas,0.8,38.6,33.2,13.7,5.7,2.3,1.5,2.7,1.5,743,0,10.5,7
2014,California,0.9,26.7,38.7,20.4,7.8,2.6,1.2,1.3,0.4,5443,28,10.5,9
2014,Colorado,0.6,29.1,35.6,17.7,6.4,4.7,0.6,2.9,2.4,717,52,12.8,8
2014,Connecticut,1.4,38.4,37.7,10.5,4.7,2.5,1.2,2.3,1.2,485,21,9.9,6
2014,Delaware,0,34.5,40.5,15.5,1.2,6,0,2.4,0,84,0,9.5,8
2014,District of Columbia,12.5,61.5,11.5,1.9,8.7,0,0,0,3.8,104,3,7.9,3
2014,Florida,0.4,39.2,33.6,13.9,5.6,2.9,1.3,1.9,1.2,3180,87,10.3,7
2014,Georgia,0.8,24.1,37.1,19.2,7.5,5.6,1.6,2.8,1.2,854,33,12.6,9
2014,Hawaii,10.7,32.2,33.1,13.2,2.5,0.8,2.5,1.7,3.3,121,0,11.6,6
2014,Idaho,0.5,32.4,41.7,18.1,4.2,2.3,0,0.9,0,216,2,9.1,8
2014,Illinois,0.6,5.4,27.6,28.4,16.1,8.2,4.9,6.3,2.5,1571,45,18.5,15
2014,Indiana,14.5,21,28.2,14.7,10.7,3.2,2.2,4.7,0.6,801,49,11.5,8
2014,Iowa,0.4,36.4,41.5,13.3,4.1,2,0.1,1.6,0.6,854,24,9,7
2014,Kansas,1.2,9.6,39.7,22.4,12.4,6.8,2.7,1.7,3.5,695,0,15.7,11
2014,Kentucky,0,26.2,41.8,16,7.3,3.9,1.5,2.1,1.3,909,0,11.9,8
2014,Louisiana,0,37.4,41.4,9.7,4.5,3.4,1.4,1.9,0.3,621,1,9.3,7
2014,Maine,0.3,9.1,38.5,31.1,15,2.4,1.7,1.4,0.3,286,9,13,12
2014,Maryland,2.3,64.9,22.6,4.5,2.6,1.1,0.4,0,1.5,265,79,6.5,4
2014,Massachusetts,0,28.7,32.5,8.5,10.2,8.5,6.6,3.5,1.7,579,10,14.5,9
2014,Michigan,0.1,21.1,46.5,17.5,6.2,3.4,1.5,2.4,1.2,2165,19,11.8,9
2014,Minnesota,0.2,14.5,39.8,26.4,7.3,5.5,2.2,3.6,0.6,641,1,13.4,11
2014,Mississippi,0,33.9,40.3,12.5,6.7,3.5,2.6,0.3,0.3,313,1,9.7,7
2014,Missouri,29.4,39.8,15.8,7,2.7,2.3,0.8,1.1,1.2,1257,34,6.5,2
2014,Montana,7.8,9.6,33,30.4,5.7,7.4,2.2,3,0.9,230,4,13,11
2014,Nebraska,12.9,29.2,31.4,12.9,6.2,2.7,2.2,1.6,0.9,449,12,9.3,7
2014,Nevada,0.8,38.8,34.3,10.2,6.7,3,1.8,2.9,1.4,726,3,10.7,7
2014,New Hampshire,4.3,40,33.9,13,2.6,2.6,0.9,1.7,0.9,115,5,8.4,6
2014,New Jersey,0.6,33.7,34.6,13.8,7.5,4.1,2.6,2.1,1.1,1017,7,11.2,7
2014,New Mexico,0.6,19,33.7,18.7,11.1,7.3,5.1,3.5,1,315,0,14.3,11
2014,New York,0.4,21.4,34.4,19.4,10.2,4.8,2.5,4.8,2,1957,40,14.2,10
2014,North Carolina,1.4,37.3,34.4,14.7,4.3,3.1,0.7,3.2,0.8,1173,3,10.2,7
2014,North Dakota,1.1,8.5,45.7,26.6,6.4,6.4,3.2,1.1,1.1,94,2,12.7,11
2014,Ohio,0.1,21.4,35.3,18.2,9.6,5.3,3.3,4.8,1.9,1406,0,14.5,10
2014,Oklahoma,1.2,23.4,39.9,19,6.3,4.8,2,2,1.4,1365,17,12,9
2014,Oregon,0.1,8.6,38,23.8,13.4,7.5,3,4,1.5,841,6,15.7,12
2014,Pennsylvania,0.6,39.5,38.5,12,4.1,1.6,1.5,1.8,0.3,1826,23,8.8,7
2014,Rhode Island,63.7,22.4,6,2.5,1.5,2,0.5,1,0.5,201,1,3.2,0
2014,South Carolina,1.1,37.2,29.4,13.5,7.8,3.6,1.1,3.4,2.9,446,3,12.3,7
2014,South Dakota,0,21.4,28.9,24.5,10.1,5.7,3.1,4.4,1.9,159,0,15.1,11
2014,Tennessee,13.3,54.6,18.7,7.3,3.4,1.5,0.5,0.5,0.1,1110,51,5.6,3
2014,Texas,0,20.1,34.2,20.5,10.2,5.1,3.2,4,2.7,5214,7,15.1,11
2014,Utah,3.2,58.6,21.8,6.5,2.8,1.8,2.5,2.2,0.7,602,3,7.5,4
2014,Vermont,0,53,33.5,7.9,1.2,2.4,0,1.2,0.6,164,0,7.4,5
2014,Virginia,0,16.9,37.5,23.9,11.9,3.6,2.4,3.1,0.8,616,16,15.8,11
2014,Washington,0.7,39,31.6,16.6,5.3,2.9,0.9,2.5,0.5,1359,3,9.9,7
2014,West Virginia,0.7,9.1,47.8,25.9,8,4,1.8,1.8,0.9,849,3,13.1,11
2014,Wisconsin,0.4,55.6,27,9.1,3.2,2.6,0.8,1.1,0.3,729,6,7.5,5
2014,Wyoming,15.1,46.6,12.3,9.6,4.1,5.5,2.7,1.4,2.7,73,2,9.2,3
2014,Puerto Rico,36.4,0,0,9.1,27.3,0,18.2,9.1,0,11,0,16.7,19
2014,Total,2.4,28.7,35.5,16.7,7.3,3.8,1.9,2.6,1.2,49910,761,11.5,8
2013,Alabama,1.4,37.1,27.5,15.1,5.8,4.3,1.5,4.4,2.9,517,1,12.6,8
2013,Alaska,14.3,36.3,22.6,10.7,5.5,4.9,1.5,2.4,1.8,328,0,10.1,5
2013,Arizona,0.3,30.4,48.3,13.2,4.5,1.4,1,0.6,0.4,2510,12,8.9,7
2013,Arkansas,0.4,36.6,34.3,13.3,3.6,4.2,2.7,3.8,1,691,0,11.1,8
2013,California,0.6,28.5,37.8,20,6.6,2.6,1.5,1.8,0.5,5526,15,10.8,8
2013,Colorado,0.1,21.1,34.5,18.4,11.4,4.7,1.9,4.3,3.5,743,39,15.3,11
2013,Connecticut,0.8,36.4,40.5,11.4,3.8,2.3,1.5,2.3,0.8,472,25,9.6,7
2013,Delaware,0.9,41.1,24.1,10.7,10.7,3.6,0,5.4,3.6,112,0,12.1,6
2013,District of Columbia,9.3,68.2,11.2,1.9,0,3.7,0,2.8,2.8,107,3,7.7,3
2013,Florida,0.3,41.7,31.5,12.4,5.7,2.3,1.3,2.8,2,3363,54,10.8,6
2013,Georgia,0.5,31.8,36.6,11.8,6.9,4.4,2.5,4.5,1,1000,31,11.9,8
2013,Hawaii,2.5,42.8,19.5,20.1,3.1,3.1,1.3,3.1,4.4,159,1,12.7,7
2013,Idaho,0.5,47.6,32.5,7.3,6.3,1.9,0,1.5,2.4,206,0,9.9,6
2013,Illinois,2.3,6.7,30.7,25.2,12.8,8.7,4.1,7.3,2.3,1321,35,17.8,14
2013,Indiana,10.8,23.9,25,17.4,7.8,3.9,2.9,5.8,2.5,877,84,13.5,9
2013,Iowa,0.3,37.9,43.5,10.9,3.4,2,0.7,0.7,0.6,881,36,8.7,7
